blocksize,elapsed_time
0,0.00010131
1,1.6721e-05
2,1.3826e-05
3,1.4026e-05
4,1.603e-05
5,1.4247e-05
6,1.4167e-05
7,1.5399e-05
8,1.4478e-05
9,1.5039e-05
10,1.4928e-05
11,1.4266e-05
12,1.4047e-05
13,1.575e-05
14,1.4497e-05
15,1.3706e-05
16,1.4588e-05
17,1.4587e-05
18,1.3685e-05
19,1.4277e-05
20,1.3696e-05
blocksize,elapsed_time
0,1.4187e-05
1,1.4216e-05
2,1.4057e-05
3,1.5098e-05
4,1.4337e-05
5,1.3846e-05
6,1.4608e-05
7,1.3956e-05
8,1.4767e-05
9,1.5609e-05
10,1.4107e-05
11,1.3956e-05
12,1.5429e-05
13,1.4878e-05
14,1.4767e-05
15,1.552e-05
16,1.3926e-05
17,1.3475e-05
18,1.4657e-05
19,1.3345e-05
20,1.3756e-05
blocksize,elapsed_time
0,1.5009e-05
1,1.3806e-05
2,1.3585e-05
3,1.569e-05
4,1.3765e-05
5,1.4387e-05
6,1.4437e-05
7,1.4227e-05
8,1.4397e-05
9,1.3836e-05
10,1.3485e-05
11,1.4097e-05
12,1.3586e-05
13,1.3926e-05
14,1.3635e-05
15,1.3435e-05
16,1.3285e-05
17,1.4267e-05
18,1.4487e-05
19,1.3916e-05
20,1.6011e-05
blocksize,elapsed_time
0,1.5679e-05
1,1.552e-05
2,1.604e-05
3,1.3936e-05
4,1.4508e-05
5,1.593e-05
6,1.4246e-05
7,1.4126e-05
8,1.5609e-05
9,1.4006e-05
10,1.4127e-05
11,1.566e-05
12,1.4908e-05
13,1.4227e-05
14,1.5569e-05
15,1.3976e-05
16,1.4988e-05
17,1.4868e-05
18,1.4528e-05
19,1.3936e-05
20,1.3726e-05
blocksize,elapsed_time
0,1.4377e-05
1,1.7823e-05
2,1.4447e-05
3,1.5519e-05
4,1.4057e-05
5,1.4588e-05
6,1.4347e-05
7,1.4678e-05
8,1.4387e-05
9,1.3656e-05
10,1.3896e-05
11,1.3836e-05
12,1.4177e-05
13,1.4007e-05
14,1.4638e-05
15,1.3966e-05
16,1.4798e-05
17,1.3796e-05
18,1.5058e-05
19,1.3826e-05
20,1.5519e-05
blocksize,elapsed_time
0,1.4658e-05
1,1.6031e-05
2,1.4517e-05
3,1.4276e-05
4,1.4728e-05
5,1.5069e-05
6,1.4417e-05
7,1.4276e-05
8,1.4487e-05
9,1.4908e-05
10,1.5279e-05
11,1.4608e-05
12,1.591e-05
13,1.4517e-05
14,1.573e-05
15,1.4387e-05
16,1.5469e-05
17,1.4567e-05
18,1.4858e-05
19,1.5029e-05
20,1.4898e-05
blocksize,elapsed_time
0,1.4668e-05
1,1.4117e-05
2,1.4397e-05
3,1.4507e-05
4,1.4708e-05
5,1.4046e-05
6,1.4176e-05
7,1.4006e-05
8,1.569e-05
9,1.4077e-05
10,1.584e-05
11,1.4327e-05
12,1.5369e-05
13,1.4347e-05
14,1.5199e-05
15,1.4257e-05
16,1.4157e-05
17,1.4186e-05
18,1.4337e-05
19,1.5159e-05
20,1.5008e-05
blocksize,elapsed_time
0,1.3706e-05
1,1.4047e-05
2,1.3836e-05
3,1.5519e-05
4,1.3956e-05
5,1.4207e-05
6,1.4597e-05
7,1.3846e-05
8,1.5169e-05
9,1.4066e-05
10,1.3806e-05
11,1.4617e-05
12,1.4216e-05
13,1.5289e-05
14,1.3876e-05
15,1.3947e-05
16,1.3776e-05
17,1.3716e-05
18,1.5149e-05
19,1.3826e-05
20,1.3535e-05
blocksize,elapsed_time
0,1.4757e-05
1,1.4708e-05
2,1.59e-05
3,1.4256e-05
4,1.5148e-05
5,1.5219e-05
6,1.4598e-05
7,1.4918e-05
8,1.4327e-05
9,1.6311e-05
10,1.4447e-05
11,1.5239e-05
12,1.4677e-05
13,1.4387e-05
14,3.3794e-05
15,1.4427e-05
16,1.4768e-05
17,1.4828e-05
18,1.4707e-05
19,1.561e-05
20,1.4568e-05
blocksize,elapsed_time
0,1.4787e-05
1,1.9387e-05
2,1.5009e-05
3,1.4408e-05
4,1.4307e-05
5,1.574e-05
6,1.5569e-05
7,1.4908e-05
8,1.7232e-05
9,1.4637e-05
10,1.4988e-05
11,1.5178e-05
12,1.6401e-05
13,1.4968e-05
14,1.4708e-05
15,1.5038e-05
16,1.4748e-05
17,1.4768e-05
18,1.4678e-05
19,1.6421e-05
20,2.0118e-05
blocksize,elapsed_time
0,1.4848e-05
1,1.4727e-05
2,1.4026e-05
3,1.7102e-05
4,1.6261e-05
5,1.5128e-05
6,1.4537e-05
7,1.4327e-05
8,1.4698e-05
9,1.4427e-05
10,1.6251e-05
11,1.5379e-05
12,1.4387e-05
13,1.4578e-05
14,1.5178e-05
15,1.5239e-05
16,1.626e-05
17,1.5719e-05
18,1.4437e-05
19,1.4537e-05
20,1.4738e-05
blocksize,elapsed_time
0,1.4989e-05
1,1.4898e-05
2,1.609e-05
3,1.4267e-05
4,1.4698e-05
5,1.4558e-05
6,1.4578e-05
7,1.3816e-05
8,1.61e-05
9,1.576e-05
10,1.9667e-05
11,1.7112e-05
12,1.4848e-05
13,1.584e-05
14,1.6622e-05
15,1.6701e-05
16,1.5489e-05
17,1.7313e-05
18,1.598e-05
19,1.576e-05
20,1.4818e-05
blocksize,elapsed_time
0,1.5409e-05
1,1.7623e-05
2,1.6992e-05
3,1.7433e-05
4,1.596e-05
5,1.6521e-05
6,1.6791e-05
7,1.6361e-05
8,1.6832e-05
9,1.5449e-05
10,1.589e-05
11,1.5449e-05
12,1.605e-05
13,1.5349e-05
14,1.5018e-05
15,1.5399e-05
16,1.5719e-05
17,1.9016e-05
18,1.9486e-05
19,2.119e-05
20,1.7062e-05
blocksize,elapsed_time
0,1.7063e-05
1,1.584e-05
2,2.0448e-05
3,1.602e-05
4,1.6451e-05
5,1.8254e-05
6,1.615e-05
7,1.7162e-05
8,1.7183e-05
9,1.7302e-05
10,1.6281e-05
11,1.6471e-05
12,1.6541e-05
13,3.5156e-05
14,1.6221e-05
15,1.7263e-05
16,1.8315e-05
17,1.6281e-05
18,0.000194225
19,1.9387e-05
20,2.1701e-05
blocksize,elapsed_time
0,1.7433e-05
1,1.624e-05
2,1.6681e-05
3,1.5068e-05
4,1.6761e-05
5,1.6341e-05
6,1.7333e-05
7,1.6942e-05
8,1.6732e-05
9,1.6151e-05
10,1.7012e-05
11,1.6882e-05
12,1.7002e-05
13,1.633e-05
14,1.5819e-05
15,1.7182e-05
16,1.6661e-05
17,1.6251e-05
18,1.7022e-05
19,1.633e-05
20,1.7312e-05
blocksize,elapsed_time
0,1.6441e-05
1,1.5479e-05
2,1.595e-05
3,1.6421e-05
4,1.5759e-05
5,1.588e-05
6,1.6261e-05
7,1.5729e-05
8,1.8425e-05
9,1.6832e-05
10,1.7543e-05
11,1.6881e-05
12,1.7152e-05
13,1.7042e-05
14,1.5759e-05
15,1.6471e-05
16,1.6441e-05
17,1.591e-05
18,1.564e-05
19,1.7163e-05
20,1.6401e-05
blocksize,elapsed_time
0,1.5679e-05
1,1.6171e-05
2,1.6491e-05
3,1.612e-05
4,1.617e-05
5,1.7573e-05
6,1.621e-05
7,1.613e-05
8,1.606e-05
9,1.6751e-05
10,1.575e-05
11,1.6161e-05
12,1.5489e-05
13,1.6351e-05
14,1.6701e-05
15,1.6e-05
16,1.586e-05
17,1.6772e-05
18,1.6671e-05
19,1.6071e-05
20,1.6381e-05
blocksize,elapsed_time
0,1.6191e-05
1,1.6681e-05
2,1.6381e-05
3,1.6611e-05
4,1.7523e-05
5,1.6351e-05
6,1.626e-05
7,1.6171e-05
8,1.6191e-05
9,1.7022e-05
10,1.6481e-05
11,1.6271e-05
12,1.6511e-05
13,1.6601e-05
14,1.6391e-05
15,1.7042e-05
16,1.6561e-05
17,1.7012e-05
18,1.6341e-05
19,1.6911e-05
20,1.6672e-05
blocksize,elapsed_time
0,1.6241e-05
1,1.7383e-05
2,1.7323e-05
3,1.6551e-05
4,1.7343e-05
5,1.644e-05
6,1.6381e-05
7,1.6471e-05
8,1.6921e-05
9,1.622e-05
10,1.612e-05
11,1.6641e-05
12,1.7062e-05
13,1.6551e-05
14,1.6652e-05
15,1.7062e-05
16,1.9657e-05
17,1.614e-05
18,1.6512e-05
19,1.7022e-05
20,1.6301e-05
blocksize,elapsed_time
0,1.6e-05
1,1.6501e-05
2,1.6451e-05
3,1.606e-05
4,1.6511e-05
5,1.6321e-05
6,1.6711e-05
7,1.599e-05
8,1.6761e-05
9,1.63e-05
10,1.629e-05
11,1.6201e-05
12,1.6672e-05
13,1.6291e-05
14,1.6541e-05
15,1.6532e-05
16,1.6632e-05
17,1.6782e-05
18,1.6722e-05
19,1.586e-05
20,1.6922e-05
blocksize,elapsed_time
0,1.7232e-05
1,1.8175e-05
2,1.7273e-05
3,1.6982e-05
4,1.7122e-05
5,1.7032e-05
6,1.7523e-05
7,1.7293e-05
8,1.7313e-05
9,1.8295e-05
10,1.7132e-05
11,1.7543e-05
12,1.7513e-05
13,1.7403e-05
14,1.7803e-05
15,1.7293e-05
16,1.7954e-05
17,1.8204e-05
18,1.7092e-05
19,1.7954e-05
20,1.7042e-05
blocksize,elapsed_time
0,1.7783e-05
1,1.8565e-05
2,1.8204e-05
3,1.7564e-05
4,1.8264e-05
5,1.7293e-05
6,1.8474e-05
7,1.8325e-05
8,1.7202e-05
9,1.7904e-05
10,1.7694e-05
11,1.7643e-05
12,1.8284e-05
13,1.7833e-05
14,1.7613e-05
15,1.7904e-05
16,1.7733e-05
17,1.7583e-05
18,1.8344e-05
19,1.7243e-05
20,1.7984e-05
blocksize,elapsed_time
0,1.7954e-05
1,1.7893e-05
2,1.7764e-05
3,1.8445e-05
4,1.7473e-05
5,1.7723e-05
6,1.8585e-05
7,1.7573e-05
8,1.7873e-05
9,1.8474e-05
10,1.7213e-05
11,1.8105e-05
12,1.7933e-05
13,1.8125e-05
14,1.8435e-05
15,1.7593e-05
16,1.8765e-05
17,1.8104e-05
18,1.7723e-05
19,1.8475e-05
20,1.7644e-05
blocksize,elapsed_time
0,1.7774e-05
1,1.7573e-05
2,1.7202e-05
3,1.8044e-05
4,1.8955e-05
5,1.7594e-05
6,1.7273e-05
7,1.7643e-05
8,1.7843e-05
9,1.7122e-05
10,1.8274e-05
11,1.6962e-05
12,1.8264e-05
13,1.7313e-05
14,1.7994e-05
