blocksize,elapsed_time
0,8.2044e-05
1,1.2003e-05
2,1.2133e-05
3,1.2243e-05
4,1.1372e-05
5,1.1131e-05
6,1.2654e-05
7,1.1392e-05
8,1.1081e-05
9,1.2964e-05
10,1.1101e-05
11,1.108e-05
12,1.2854e-05
13,1.1332e-05
14,1.1151e-05
15,1.3065e-05
16,1.1331e-05
17,1.1301e-05
18,1.1071e-05
19,1.1271e-05
20,1.1412e-05
blocksize,elapsed_time
0,1.1462e-05
1,1.1652e-05
2,1.1532e-05
3,1.1231e-05
4,1.1452e-05
5,1.1201e-05
6,1.1361e-05
7,1.1321e-05
8,1.2203e-05
9,1.2954e-05
10,1.2213e-05
11,1.2874e-05
12,1.1421e-05
13,1.1201e-05
14,1.2153e-05
15,1.1241e-05
16,1.1241e-05
17,1.2453e-05
18,1.1231e-05
19,1.1191e-05
20,1.2633e-05
blocksize,elapsed_time
0,1.1282e-05
1,1.1222e-05
2,1.2354e-05
3,1.1282e-05
4,1.1241e-05
5,1.3225e-05
6,1.1151e-05
7,1.1602e-05
8,1.1171e-05
9,1.1391e-05
10,1.1712e-05
11,1.2373e-05
12,1.2443e-05
13,1.2063e-05
14,1.1612e-05
15,1.1903e-05
16,1.1742e-05
17,1.1291e-05
18,1.2012e-05
19,1.2644e-05
20,1.1001e-05
blocksize,elapsed_time
0,1.1221e-05
1,1.2554e-05
2,1.1111e-05
3,1.1321e-05
4,1.2413e-05
5,1.1041e-05
6,1.1281e-05
7,1.2534e-05
8,1.1191e-05
9,1.1271e-05
10,1.2464e-05
11,1.1061e-05
12,1.1141e-05
13,1.2494e-05
14,1.1141e-05
15,1.1271e-05
16,1.2703e-05
17,1.1281e-05
18,1.1161e-05
19,1.0519e-05
20,1.1131e-05
blocksize,elapsed_time
0,1.2413e-05
1,1.1251e-05
2,1.1111e-05
3,1.1321e-05
4,1.1071e-05
5,1.1281e-05
6,1.11e-05
7,1.1321e-05
8,1.1281e-05
9,1.062e-05
10,1.1251e-05
11,1.2894e-05
12,1.1181e-05
13,1.2854e-05
14,1.1481e-05
15,1.2824e-05
16,1.1251e-05
17,1.1652e-05
18,1.1181e-05
19,1.1271e-05
20,1.1301e-05
blocksize,elapsed_time
0,1.1241e-05
1,1.1161e-05
2,1.1211e-05
3,1.1151e-05
4,1.1231e-05
5,1.0579e-05
6,1.1211e-05
7,1.2875e-05
8,1.1362e-05
9,1.2273e-05
10,1.1562e-05
11,1.2173e-05
12,1.1241e-05
13,1.1161e-05
14,1.1001e-05
15,1.1111e-05
16,1.1191e-05
17,1.1302e-05
18,1.1402e-05
19,1.1171e-05
20,1.063e-05
blocksize,elapsed_time
0,1.1412e-05
1,1.3165e-05
2,1.3926e-05
3,1.2524e-05
4,1.1231e-05
5,1.2514e-05
6,1.1231e-05
7,1.1822e-05
8,1.1131e-05
9,1.1101e-05
10,1.0891e-05
11,1.1372e-05
12,1.1071e-05
13,1.1232e-05
14,1.1431e-05
15,1.1492e-05
16,1.0911e-05
17,1.1231e-05
18,1.2333e-05
19,1.1252e-05
20,1.2353e-05
blocksize,elapsed_time
0,1.1211e-05
1,1.058e-05
2,1.1141e-05
3,1.1101e-05
4,1.2273e-05
5,1.1231e-05
6,1.0921e-05
7,1.1111e-05
8,1.1371e-05
9,1.2343e-05
10,1.1211e-05
11,1.052e-05
12,1.1241e-05
13,1.2183e-05
14,1.2623e-05
15,1.1361e-05
16,1.1441e-05
17,1.1331e-05
18,1.1031e-05
19,1.108e-05
20,1.1211e-05
blocksize,elapsed_time
0,1.3115e-05
1,1.1411e-05
2,1.1471e-05
3,1.1371e-05
4,1.0821e-05
5,1.2414e-05
6,1.1362e-05
7,1.1352e-05
8,1.1261e-05
9,1.087e-05
10,1.2273e-05
11,1.1241e-05
12,1.086e-05
13,1.1742e-05
14,1.1402e-05
15,1.2925e-05
16,1.1351e-05
17,1.1231e-05
18,1.1271e-05
19,1.1241e-05
20,1.2334e-05
blocksize,elapsed_time
0,1.1402e-05
1,1.3936e-05
2,1.2193e-05
3,1.1161e-05
4,1.1521e-05
5,1.1362e-05
6,1.2604e-05
7,1.1302e-05
8,1.1522e-05
9,1.1011e-05
10,1.2043e-05
11,1.2554e-05
12,1.1451e-05
13,1.2453e-05
14,1.1531e-05
15,1.1511e-05
16,1.0841e-05
17,1.1382e-05
18,1.1372e-05
19,1.1552e-05
20,1.2614e-05
blocksize,elapsed_time
0,1.094e-05
1,1.1342e-05
2,1.3105e-05
3,1.1482e-05
4,1.1271e-05
5,1.086e-05
6,1.085e-05
7,1.1192e-05
8,1.062e-05
9,1.1922e-05
10,1.1131e-05
11,1.1291e-05
12,1.2463e-05
13,1.1331e-05
14,1.1963e-05
15,1.2574e-05
16,1.1041e-05
17,1.1491e-05
18,1.2814e-05
19,1.1011e-05
20,1.1111e-05
blocksize,elapsed_time
0,1.0701e-05
1,1.056e-05
2,1.1151e-05
3,1.0439e-05
4,1.1632e-05
5,1.0881e-05
6,1.0951e-05
7,1.2093e-05
8,1.0901e-05
9,1.087e-05
10,1.2694e-05
11,1.1181e-05
12,1.1011e-05
13,1.2514e-05
14,1.0841e-05
15,1.1502e-05
16,1.1211e-05
17,1.0991e-05
18,1.1351e-05
19,1.1181e-05
20,1.2233e-05
blocksize,elapsed_time
0,1.1141e-05
1,1.1181e-05
2,1.0951e-05
3,1.2644e-05
4,1.1161e-05
5,1.1792e-05
6,1.1161e-05
7,1.106e-05
8,1.2524e-05
9,1.1121e-05
10,1.1472e-05
11,1.1101e-05
12,1.2874e-05
13,1.1291e-05
14,1.1412e-05
15,1.1181e-05
16,1.0971e-05
17,1.2704e-05
18,1.096e-05
19,1.1301e-05
20,1.1682e-05
blocksize,elapsed_time
0,1.1502e-05
1,1.2333e-05
2,1.2313e-05
3,1.095e-05
4,1.1221e-05
5,1.3936e-05
6,1.4688e-05
7,1.3516e-05
8,1.3395e-05
9,1.3986e-05
10,1.3085e-05
11,1.3315e-05
12,1.5479e-05
13,1.3145e-05
14,1.2053e-05
15,1.1612e-05
16,1.1411e-05
17,1.4166e-05
18,1.2975e-05
19,1.2132e-05
20,1.1461e-05
blocksize,elapsed_time
0,1.2874e-05
1,1.3576e-05
2,1.4617e-05
3,1.4888e-05
4,1.1762e-05
5,1.5138e-05
6,1.9005e-05
7,1.1963e-05
8,1.2083e-05
9,1.2002e-05
10,1.2153e-05
11,1.2434e-05
12,1.3155e-05
13,1.1882e-05
14,1.1661e-05
15,1.2113e-05
16,1.2633e-05
17,1.1913e-05
18,1.2073e-05
19,1.3104e-05
20,1.1391e-05
blocksize,elapsed_time
0,1.1832e-05
